open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
Pe5f30125-df4d-404b-b9ea-5de396e5c766,O8834c4fd-ce5c-4c35-b880-9842ebd8036e,2015-07-01 00:18:21,WLAN,WLAN,50.103419,14.3994391,network,25.0,,,,,,22119,17374,12.657198,,CZ.NIC,7,3,Android,LGE LG G3 (LG-D855),2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,6830,89.176.203,,,false,-72,7229894.016,1655,1147,{},,,,,,,,
Pe5f30125-df4d-404b-b9ea-5de396e5c766,O8834c4fd-ce5c-4c35-b880-9842ebd8036e,2015-07-01 00:18:21,WLAN,WLAN,50.103419,14.3994391,network,25.0,,,,,,22119,17374,12.657198,,CZ.NIC,7,3,Android,LGE LG G3 (LG-D855),2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,6830,89.176.203,,,false,-72,7229894.016,11692,1147,{},,,,,,,,
Pe5f30125-df4d-404b-b9ea-5de396e5c766,Od6365e82-9031-46e0-b8bb-9284ce0091f7,2015-07-01 00:21:25,WLAN,WLAN,50.1032973,14.3995323,network,30.35300064086914,,,,,,35806,17971,13.974001,,CZ.NIC,7,3,Android,LGE LG G3 (LG-D855),2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,6830,89.176.203,,,false,-71,7228863.097,1655,1147,{},,,,,,,,
Pe5f30125-df4d-404b-b9ea-5de396e5c766,Od6365e82-9031-46e0-b8bb-9284ce0091f7,2015-07-01 00:21:25,WLAN,WLAN,50.1032973,14.3995323,network,30.35300064086914,,,,,,35806,17971,13.974001,,CZ.NIC,7,3,Android,LGE LG G3 (LG-D855),2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,6830,89.176.203,,,false,-71,7228863.097,11692,1147,{},,,,,,,,
Pe5f30125-df4d-404b-b9ea-5de396e5c766,Od6365e82-9031-46e0-b8bb-9284ce0091f7,2015-07-01 00:21:25,WLAN,WLAN,50.1032973,14.3995323,network,30.35300064086914,,,,,,35806,17971,13.974001,,CZ.NIC,7,3,Android,LGE LG G3 (LG-D855),2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,6830,89.176.203,,,false,-71,7228863.097,11693,1147,{},,,,,,,,
Pa83e844f-9899-45f2-b909-5f9a9ad7aac8,Obbc257cb-b933-41b6-adc8-9deab2985cd6,2015-07-01 00:46:35,4G,LTE,50.0574895,14.4781738,network,965.0,,,,,,32818,14304,19.884372,-88,CZ.NIC,7,3,Android,HTC One (HTC One),2.0.41-CZ_0.9.10-master,230-02,"O2 - CZ ",230-02,nat_public_to_public_ipv4,5610,37.188.239,,,true,,7228540.026,10306818,65534,{411},,,,,,,,
Pcf6d481d-417a-477b-afb6-414dadabcb97,O55a5348e-96d2-4728-9630-dae3e35e9c19,2015-07-01 01:08:04,WLAN,WLAN,,,,,,,,,,3620,828,11.053474,,CZ.NIC,7,3,Android,SM-A300FU,2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,5588,212.47.10,3225,1402,false,-78,7241665.51,5851,1513,{},,,,,,,,
P3e8109e1-5a94-4db7-abc0-a25f6496938e,O663e19b3-377e-43d6-87d0-46da485f4c05,2015-07-01 02:30:54,WLAN,WLAN,,,,,,,,,,8629,973,8.591045,,CZ.NIC,7,3,Android,Galaxy Note 10.1,2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,12570,88.83.236,,,false,-64,7227895.161,266130078,25450,{},,,,,,,,
Pfc277e06-7400-4220-af69-f51334da90be,O00afd4a7-06ac-47fa-b033-729932fc5f59,2015-07-01 03:06:16,WLAN,WLAN,50.5555695,13.7688557,network,30.0,,,,,,19844,5087,12.305293,,CZ.NIC,7,3,Android,SM-G920F,2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,57823,176.107.123,,,false,-44,7226989.499,592117,31100,{},,,,,,,,
P540ce834-bf6c-453a-88b5-367426056c0e,O7eecdd9d-ce69-4adb-bc09-1e56ab8b8a3e,2015-07-01 04:00:54,WLAN,WLAN,,,,,,,,,,17403,11299,13.970687,,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,5588,158.255.19,,,false,-78,7227649.9629999995,17955329,1721,{},,,,,,,,
P8fc07944-db65-4923-955f-a80060b23700,O82223808-ce4e-42fc-ba79-ff64301ed5a6,2015-07-01 04:01:11,4G,LTE,50.11430285,14.70178121,gps,11.0,,,,,,13117,1754,58.061215,-109,CZ.NIC,7,3,Android,Sony Xperia Z3 Compact (D5803),2.0.41-CZ_0.9.10-master,230-01,T-Mobile CZ,230-01,nat_local_to_public_ipv4,13036,37.48.42,,,false,,7276746.244,31524107,10112,{},,,,,,,,
P8fc07944-db65-4923-955f-a80060b23700,Ob8dfb6fb-fbd5-4c29-9b0f-b536b9433286,2015-07-01 04:04:40,4G,LTE,50.11427846,14.70179911,gps,10.0,,,,,,13127,1861,31.915596,-107,CZ.NIC,7,3,Android,Sony Xperia Z3 Compact (D5803),2.0.41-CZ_0.9.10-master,230-01,T-Mobile CZ,230-01,nat_local_to_public_ipv4,13036,37.48.42,,,false,,7232113.328000001,31524107,10112,{},,,,,,,,
Pc7906999-bd11-4f7c-827a-69ba11bbb9da,O657efac7-796c-4080-b22b-1856b7785fff,2015-07-01 04:15:54,WLAN,WLAN,50.0477837,14.4914777,network,40.27199935913086,,,,,,9220,1800,27.161097,,CZ.NIC,7,3,Android,PMP5770D,2.0.41-CZ_0.9.9-master,,,,no_nat_ipv6,5610,2a00:1028:919c::,,,false,-69,7231305.415,,,{},,,,,,,,
