open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
P1e204c7e-09e0-4c6c-856f-1ee2f7f72027,Obca26eb7-cc52-44af-ae08-8413c09f2f87,2015-06-01 00:26:26,2G,EDGE,48.84163243,17.11732568,gps,6.0,,,,,,115,13,142.866409,,CZ.NIC,7,1,Android,Coolpad VodafoneSmart4,2.0.41-CZ_0.9.10-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.41,,,false,-87,7239279.554,12725,38020,{},,,,,,,,
P55f5e853-41e2-481a-97ad-dad49e04982d,O68782967-d2d8-49e4-ba9a-239cb2820579,2015-06-01 03:16:41,WLAN,WLAN,,,,,,,,,,37424,34738,11.41892,,CZ.NIC,7,3,iOS,iPad 4 WiFi,1.3.8,,,,nat_local_to_public_ipv4,39235,80.251.241,,,false,,7221641.595,,,{},,,,,,,,
P7fe0c51b-7ed3-4c23-b425-d8c3981632cf,Oe5200542-21cb-4a10-a807-acfc3a0e9f9d,2015-06-01 03:17:22,WLAN,WLAN,,,,,,,,,,8657,8646,16.895146,,CZ.NIC,7,3,Android,GT-I9301I,2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,199101,93.93.35,,,false,-61,7223085.787,,,{},,,,,,,,
Pa8c953e8-9eaf-4e12-9b10-ce31e90b2d12,O5b45d1f0-e03d-45c2-8ba8-6aee4c947e7d,2015-06-01 04:10:14,4G,LTE,49.17034462,17.50743602,gps,9.0,,,,,,67161,17568,26.224613,-93,CZ.NIC,7,3,Android,D6603,2.0.41-CZ_0.9.10-master,230-01,T-Mobile CZ,230-01,nat_local_to_public_ipv4,13036,37.48.39,,,false,,7223581.825999999,17977867,47200,{},,,,,,,,
Pa8c953e8-9eaf-4e12-9b10-ce31e90b2d12,Od02f2169-4e6d-4ba8-9f07-6fd4bc086c32,2015-06-01 04:10:47,4G,LTE,49.17035638,17.50726074,gps,9.0,,,,,,56203,15598,26.548295,-97,CZ.NIC,7,3,Android,D6603,2.0.41-CZ_0.9.10-master,230-01,T-Mobile CZ,230-01,nat_local_to_public_ipv4,13036,37.48.39,,,false,,7221984.177,17977867,47200,{},,,,,,,,
P2bf9c56d-a6bf-445f-85db-2cd25b156785,Ob5408f6d-8e63-47e4-9a35-570194c8ad78,2015-06-01 04:34:48,WLAN,WLAN,49.8666839,18.5508158,network,42.0,,,,,,33084,5553,11.658793,,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,30764,85.135.20,,,false,-66,7225025.736,17110,1721,{},,,,,,,,
P61164142-7148-4c88-8a19-b961b2803cca,O5a624a4e-741b-4023-9ae5-097f9153a349,2015-06-01 04:36:43,WLAN,WLAN,49.9079921,16.6052812,network,1993.0,,,,,,5931,1703,79.643099,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41-CZ_0.9.10-master,,,,nat_local_to_public_ipv4,13036,37.48.44,,,false,-31,7230516.015000001,236052504,13630,{},,,,,,,,
Pa8c953e8-9eaf-4e12-9b10-ce31e90b2d12,O19c8aca1-7ae6-4077-a80a-44381959bf03,2015-06-01 04:37:01,4G,LTE,49.07062319,17.46407476,gps,3.0,,,,,,20604,855,28.425667,-108,CZ.NIC,7,3,Android,D6603,2.0.41-CZ_0.9.10-master,230-01,T-Mobile CZ,230-01,nat_local_to_public_ipv4,13036,37.48.39,,,false,,7224905.063999999,17981197,47000,{},,,,,,,,
Pa8c953e8-9eaf-4e12-9b10-ce31e90b2d12,O27ba7622-bcad-4a09-9b00-abf28bf64093,2015-06-01 04:37:34,3G/4G,3G/4G,49.07196683,17.45947981,gps,4.0,,,,,,20836,1901,29.4291,,CZ.NIC,7,3,Android,D6603,2.0.41-CZ_0.9.10-master,230-01,T-Mobile CZ,230-01,nat_local_to_public_ipv4,13036,37.48.39,,,true,-83,7235969.219,17981197,47000,{411},,,,,,,,
Pa8c953e8-9eaf-4e12-9b10-ce31e90b2d12,O27ba7622-bcad-4a09-9b00-abf28bf64093,2015-06-01 04:37:34,3G/4G,3G/4G,49.07196683,17.45947981,gps,4.0,,,,,,20836,1901,29.4291,,CZ.NIC,7,3,Android,D6603,2.0.41-CZ_0.9.10-master,230-01,T-Mobile CZ,230-01,nat_local_to_public_ipv4,13036,37.48.39,,,true,-83,7235969.219,2147483647,24676,{411},,,,,,,,
