open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
Pfe73ab89-6d37-4e8d-9f99-8a6867879007,O5beb1e7b-89fd-4f36-835a-0da5150ec432,2014-12-01 10:01:25,WLAN,WLAN,,,,,,,,,,13690,19175,,,CZ.NIC,7,3,iOS,Emulator x86_64,1.3,,,,nat_public_to_local_ipv6,,::,,,true,,3600000.0,,,{111},,,,,,,,
P144f49ef-7648-47b1-9e5b-27c692e51072,Oce10fd8d-bd94-41b6-9c22-cb7862f8abfd,2014-12-01 10:44:17,WLAN,WLAN,,,,,,,,,,15228,20283,,,CZ.NIC,7,3,iOS,Emulator x86_64,1.3,,,,nat_public_to_local_ipv6,,::,,,true,,3600000.0,,,{111},,,,,,,,
P144f49ef-7648-47b1-9e5b-27c692e51072,O0f016a87-6f6e-4e99-9fbe-f9054227edba,2014-12-01 12:13:14,WLAN,WLAN,,,,,,,,,,14707,19903,,,CZ.NIC,7,3,iOS,Emulator x86_64,1.3,,,,nat_public_to_local_ipv6,,::,,,true,,3600000.0,,,{111},,,,,,,,
P71177594-47e0-4c0b-ace4-67e797ec551c,Oa2eed1a5-f257-4310-bbb2-3b3ed68553cd,2014-12-01 13:01:33,3G,HSPA+,49.7495765,13.3799176,network,36.0,,,,,,9509,2936,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41-CZ_0.9.1-master,230-01,T-Mobile CZ,230-01,nat_local_to_public_ipv4,13036,37.48.34,,,true,-65,3600000.0,267441732,8240,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O4d929ca0-378b-478a-8d0d-2081b9ac7359,2014-12-01 14:24:24,3G,HSPA+,,,,,,,,,,9029,4105,,,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.24,,,true,-79,3600000.0,187108,34800,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O67b2a66b-746f-4f63-bc38-07b934a48887,2014-12-01 14:28:13,3G,HSPA+,,,,,,,,,,6053,2940,,,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.24,,,true,-75,3600000.0,181733,34800,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O96b9ea4b-9732-43ff-8dd1-8c5e7e6ff3a8,2014-12-01 14:33:05,3G,HSPA+,,,,,,,,,,3699,1200,,,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.24,,,true,-75,3600000.0,181733,34800,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O55e3dde6-ff41-4e55-9c80-dddcd62de9b6,2014-12-01 14:44:26,3G,HSPA+,,,,,,,,,,6681,2455,,,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.24,,,true,-75,3600000.0,181733,34800,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O7be1f4e7-7ec4-4e58-8a1c-a816f7662cfc,2014-12-01 14:48:04,3G,HSPA+,,,,,,,,,,5503,2543,,,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.24,,,true,-75,3600000.0,187108,34800,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O7098a1aa-173d-4cf3-b8bd-cf11bae46186,2014-12-01 14:58:23,4G,LTE,50.1115814,14.49921,network,1218.0,,,,,,15874,10791,,-71,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-01,T-Mobile CZ,230-01,no_nat_ipv4,13036,62.141.28,,,true,,3600000.0,26844427,10118,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O3c6eb96e-2a0d-4ef5-bb2c-037eb05130b4,2014-12-01 14:59:25,4G,LTE,50.1115814,14.49921,network,1218.0,,,,,,17516,8567,,-70,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-01,T-Mobile CZ,230-01,no_nat_ipv4,13036,62.141.28,,,true,,3600000.0,26844427,10118,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O925ccce6-f0f5-4092-bd7b-16a75b9400e3,2014-12-01 15:00:54,4G,LTE,50.1107258,14.4988942,network,762.0,,,,,,12212,8283,,-63,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-01,T-Mobile CZ,230-01,no_nat_ipv4,13036,62.141.28,,,true,,3600000.0,31851787,10118,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O925ccce6-f0f5-4092-bd7b-16a75b9400e3,2014-12-01 15:00:54,4G,LTE,50.1107258,14.4988942,network,762.0,,,,,,12212,8283,,-63,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-01,T-Mobile CZ,230-01,no_nat_ipv4,13036,62.141.28,,,true,,3600000.0,26844427,10118,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O981c4569-3ec4-489c-82ba-08f4ab475b72,2014-12-01 15:01:32,4G,LTE,50.1098703,14.4985784,network,762.0,,,,,,9678,20582,,-63,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-01,T-Mobile CZ,230-01,no_nat_ipv4,13036,62.141.28,,,true,,3600000.0,31851787,10118,{111},,,,,,,,
Pfe95ecf0-39bb-4fce-9425-a4f53e87e04a,O45a97810-8929-448e-9754-02b855e23e6c,2014-12-01 16:18:50,4G,LTE,50.11051339,14.49970535,gps,66.0,,,,,,14167,15926,,-64,CZ.NIC,7,3,Android,Galaxy S4 LTE,2.0.41-CZ_0.9.1-master,230-01,T-Mobile CZ,230-01,no_nat_ipv4,13036,62.141.28,,,true,,3600000.0,31851787,10118,{111},,,,,,,,
P4f0abece-de15-432f-bb13-0b7e8b5139c9,Oc9883021-4df9-4388-b326-ef14cef84d97,2014-12-01 21:09:13,WLAN,WLAN,,,,,,,,,,4016,2010,,,CZ.NIC,7,3,Android,Sony Xperia Z,2.0.41-CZ_0.9.1-master,,,,nat_local_to_public_ipv4,16246,188.175.45,,,true,-62,3600000.0,12314,31014,{111},,,,,,,,
P82d8ebdb-344a-4b2e-b790-7c2c9e3187fd,O5a0f203b-a6b7-456d-80d2-90881fe5036b,2014-12-02 01:18:29,WLAN,WLAN,50.4963603,13.6573107,network,27.0,,,,,,9379,12030,,,CZ.NIC,7,3,Android,Acer E380,2.0.41-CZ_0.9.1-master,,,,nat_local_to_public_ipv4,47493,77.237.158,,,true,-68,3600000.0,235999912,3511,{111},,,,,,,,
