open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
P24681565-bd67-4b45-a9d4-038a44c3139b,O7f04765f-685b-4cca-874b-236c047b381a,2015-09-01 00:00:25,WLAN,WLAN,49.3609471,16.6437498,network,37.5,,,,,,17583,10407,16.104893,,CZ.NIC,7,3,Android,MK808B Plus,2.0.41-CZ_0.9.13-master,,,,nat_local_to_public_ipv4,6830,89.177.61,,,false,-38,7221456.214,,,{},,,,,,,,
P24681565-bd67-4b45-a9d4-038a44c3139b,O27be9fea-cdc3-476f-a97e-384855669b3f,2015-09-01 00:00:47,N/A,CELLULAR_NS,49.3609471,16.6437498,network,37.5,,,,,,0,0,,,CZ.NIC,7,0,Android,MK808B Plus,2.0.41-CZ_0.9.13-master,,,,,,,,,true,,7200126.978999999,,,"{111,361,362}",,,,,,,,
P5ff203b1-f3e4-44bf-a09e-8799480c579d,Oa1984092-ce5d-40d7-bbe7-2b6401625ab9,2015-09-01 00:04:25,WLAN,WLAN,49.3608476,16.6436959,network,37.5,,,,,,36306,11591,16.086714,,CZ.NIC,7,3,Android,CW-Vi7,2.0.41-CZ_0.9.13-master,,,,nat_local_to_public_ipv4,6830,89.177.61,,,false,-38,7220939.706,29006,25410,{},,,,,,,,
P10b0f3e0-3e6c-4632-be5a-cbff5e414f0e,Oeae7dc91-bfc1-4ede-b5a4-4fd269a2c5f2,2015-09-01 00:16:07,WLAN,WLAN,50.1393649,14.0794522,network,20.0,,,,,,29110,11989,9.117996,,CZ.NIC,7,3,Android,HTC One (HTC One),2.0.41-CZ_0.9.13-master,,,,nat_local_to_public_ipv4,6830,89.176.138,36977,10390,false,-66,7222276.892,2314,1221,{},,,,,,,,
P10b0f3e0-3e6c-4632-be5a-cbff5e414f0e,Oeae7dc91-bfc1-4ede-b5a4-4fd269a2c5f2,2015-09-01 00:16:07,WLAN,WLAN,50.1393649,14.0794522,network,20.0,,,,,,29110,11989,9.117996,,CZ.NIC,7,3,Android,HTC One (HTC One),2.0.41-CZ_0.9.13-master,,,,nat_local_to_public_ipv4,6830,89.176.138,36977,10390,false,-66,7222276.892,32324,1221,{},,,,,,,,
P4cabf2cb-af56-4fa5-a5ae-3fa1c5eb3a01,O2240199f-ef4d-4abd-9109-ee1c57c3c133,2015-09-01 01:01:48,3G,HSPA+,49.8675239,15.5814711,network,2304.0,,,,,,74,51,41.896956,,CZ.NIC,7,1,Android,Galaxy S2,2.0.41-CZ_0.9.13-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.10,,,false,-105,7229548.5600000005,1320551,38075,{},,,,,,,,
P4467324b-4bad-4238-b123-615e9fcc6951,Od3491f38-c0bb-48c9-9f1a-2e2cf6456cb2,2015-09-01 01:33:10,WLAN,WLAN,,,,,,,,,,443,495,164.643511,,CZ.NIC,7,1,iOS,iPhone 5s US,1.3.8,,,,nat_local_to_public_ipv4,9038,92.241.44,,,false,,7243113.568,,,{},,,,,,,,
P0cb20119-d3e3-471c-9d5a-9d48698afc4c,Od805b792-ce07-4fb6-8c07-07c32816ee61,2015-09-01 01:49:50,WLAN,WLAN,49.87038703870387,14.720647773279353,,65.0,,,,,,33151,1895,18.939023,,CZ.NIC,7,3,iOS,iPad Air WiFi,1.3.8,,,,nat_local_to_public_ipv4,5610,37.188.238,,,false,,7221446.057,,,{},,,,,,,,
Pc0f19e7f-a72c-4515-819d-7037441f775b,Od859e9e7-f085-4c62-b1cf-81f02a3eb372,2015-09-01 01:53:01,WLAN,WLAN,49.695769576957694,13.346828609986504,,65.0,,,,,,6855,404,14.815324,,CZ.NIC,7,3,iOS,iPad 4 WiFi,1.3.8,,,,nat_local_to_public_ipv4,5610,88.101.76,,,false,,7222919.103,,,{},,,,,,,,
P7a6a1f8e-b1ca-4c20-9bc9-2664dd31363e,Ocd3421dc-dc15-44e1-873f-6383646fec0f,2015-09-01 02:07:33,WLAN,WLAN,49.5499455,18.324491,network,46.0,,,,,,4048,2010,14.946255,,CZ.NIC,7,3,Android,Huawei Y330-U01 (HUAWEI Y330-U01),2.0.41-CZ_0.9.13-master,,,,nat_local_to_public_ipv4,16246,188.175.45,,,false,-54,7221823.567000001,242590689,1714,{},,,,,,,,
