open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
Peb60d87d-368f-401b-9a7f-e94c83c7b16a,O4d3b7d5a-8cb3-444e-b212-07d1bbfbbe16,2015-11-01 00:03:39,WLAN,WLAN,49.7356201,13.36819,network,30.0,,,,,,9451,1880,11.497993,,CZ.NIC,7,3,Android,Motorola Moto G,2.0.41-CZ_0.9.13-master,,,,no_nat_ipv4,6830,94.113.2,,,false,-45,3624031.567,267435553,8240,{},,,,,,,,
Peb60d87d-368f-401b-9a7f-e94c83c7b16a,O6d90e0d6-9ed0-4c22-98dc-1bc9a6549cb3,2015-11-01 00:04:03,N/A,CELLULAR_NS,49.74773219,13.37348585,gps,3.0,,,,,,0,0,,,CZ.NIC,7,0,Android,Motorola Moto G,2.0.41-CZ_0.9.13-master,230-01,GoMobil,230-01,,,,,,true,,3600102.933,267440484,8240,"{111,361,362,401}",,,,,,,,
Peb60d87d-368f-401b-9a7f-e94c83c7b16a,O95e5f08e-4f00-446f-8d8c-c2170b1ebadb,2015-11-01 00:04:39,WLAN,WLAN,49.7356032,13.3681902,network,37.5,,,,,,9464,1896,11.208804,,CZ.NIC,7,3,Android,Motorola Moto G,2.0.41-CZ_0.9.13-master,,,,no_nat_ipv4,6830,94.113.2,,,false,-45,3623815.574,267435553,8240,{},,,,,,,,
P6d1ec8cb-6414-417f-95f9-a576331dc8d9,O66c64830-6eb0-47d6-a921-1f14630cee6a,2015-11-01 00:22:00,WLAN,WLAN,,,,,,,,,,18331,18173,7.65887,,CZ.NIC,7,3,Android,thl 4000,2.0.41-CZ_0.9.13-master,,,,nat_public_to_public_ipv4,8251,212.79.110,,,false,-59,3622308.1750000003,27592,8250,{},,,,,,,,
P6d1ec8cb-6414-417f-95f9-a576331dc8d9,O66c64830-6eb0-47d6-a921-1f14630cee6a,2015-11-01 00:22:00,WLAN,WLAN,,,,,,,,,,18331,18173,7.65887,,CZ.NIC,7,3,Android,thl 4000,2.0.41-CZ_0.9.13-master,,,,nat_public_to_public_ipv4,8251,212.79.110,,,false,-59,3622308.1750000003,267442938,8250,{},,,,,,,,
P8a81a303-c94b-4bbb-a33c-8b6aa7cebdef,O68a8c939-2433-44a8-9785-1eadd890402a,2015-11-01 00:44:18,WLAN,WLAN,49.7698078,13.2203553,network,26.0,,,,,,34014,14761,20.017057,,CZ.NIC,7,3,Android,E2303,2.0.41-CZ_0.9.13-master,,,,nat_local_to_public_ipv4,16019,46.135.38,,,false,-43,3621364.286,549389,32200,{},,,,,,,,
P9e6f627c-cc9c-4abd-8ff9-45a152f03b70,O9ef9cd8c-2640-44ca-b0de-d47bd05b219a,2015-11-01 01:09:58,4G,LTE,,,,,,,,,,6397,2477,29.92809,,CZ.NIC,7,3,Android,SM-G388F,2.0.41-CZ_0.9.13-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.81,,,false,,3625183.1969999997,263938,37030,{},,,,,,,,
P9e6f627c-cc9c-4abd-8ff9-45a152f03b70,O07e97256-93a3-4097-bce3-3728bc4aeff1,2015-11-01 01:11:53,4G,LTE,,,,,,,,,,8942,2821,29.984299,,CZ.NIC,7,3,Android,SM-G388F,2.0.41-CZ_0.9.13-master,230-03,Vodafone CZ,230-03,nat_local_to_public_ipv4,16019,46.135.81,,,false,,3624363.8219999997,263938,37030,{},,,,,,,,
P3dbe822d-2554-49dc-9201-800b7d96d537,O4c66d068-b5af-45ae-8b94-9a1f27f337b6,2015-11-01 01:25:31,WLAN,WLAN,50.2190655,15.8543339,network,40.5,,,,,,19856,22703,13.313289,,CZ.NIC,7,3,Android,Lenovo P70-A,2.0.41-CZ_0.9.13-master,,,,nat_local_to_public_ipv4,6830,91.245.10,,,false,-58,3622766.971,265459118,13700,{},,,,,,,,
P1b14156d-dd84-4c83-bd56-cda5710ac805,O060519b2-cc61-49d5-92d1-255ee6ad0da7,2015-11-01 02:48:47,WLAN,WLAN,,,,,,,,,,22573,11962,14.325567,,CZ.NIC,7,3,Android,Sony Xperia M2 (D2303),2.0.41-CZ_0.9.13-master,,,,nat_local_to_public_ipv4,20723,79.170.252,,,false,-39,3623516.271,368385,38060,{},,,,,,,,
